"The uploaded file exceeds the MAX_FILE_SIZE directive that was specified in the HTML form","The uploaded file exceeds the MAX_FILE_SIZE directive that was specified in the HTML form"
"The uploaded file was only partially uploaded","The uploaded file was only partially uploaded"
"No file was uploaded","No file was uploaded"
"Missing a temporary folder","Missing a temporary folder"
"Failed to write file to disk","Failed to write file to disk"
"File upload stopped by extension","File upload stopped by extension"
"Unknown upload error","Unknown upload error"
"Uploaded image is too big! Maximum image size is 2 MB!","Uploaded image is too big! Maximum image size is 2 MB!"
"The DPI of the uploaded image is too small! Minimum allowed DPI is ' . . '.","The DPI of the uploaded image is too small! Minimum allowed DPI is ' . . '."
"PHP Issue - copy image failed","PHP Issue - copy image failed"
"Product successfully created!","Product successfully created!"
"Product could not be created. Please try again!","Product could not be created. Please try again!"
"Shadow 1","Shadow 1"
"Shadow 2","Shadow 2"
"Shadow 3","Shadow 3"
"Shadow 4","Shadow 4"
"Shadow 5","Shadow 5"
"Shadow 6","Shadow 6"
"Shadow 7","Shadow 7"
"Shadow 8","Shadow 8"
"No Shadow","No Shadow"
Dynamic,Dynamic
"Fixed Left","Fixed Left"
"Fixed Right","Fixed Right"
"Top-Right in Product Stage","Top-Right in Product Stage"
"Top-Left in Product Stage","Top-Left in Product Stage"
"Bottom-Right in Product Stage","Bottom-Right in Product Stage"
"Bottom-Left in Product Stage","Bottom-Left in Product Stage"
"Under the Product Stage","Under the Product Stage"
Grayscale,Grayscale
Sepia,Sepia
"Sepia 2","Sepia 2"
Left,Left
Center,Center
Right,Right
"Manage Layers","Manage Layers"
Add,Add
"Change Products","Change Products"
Actions,Actions
"Download PDF","Download PDF"
"Download Image","Download Image"
Save,Save
Load,Load
Undo,Undo
Redo,Redo
"Reset Product","Reset Product"
Zoom,Zoom
Pan,Pan
"Add your own Image","Add your own Image"
"Add your own text","Add your own text"
"Enter your text","Enter your text"
"Add photo from facebook","Add photo from facebook"
"Add photo from instagram","Add photo from instagram"
"Choose from Designs","Choose from Designs"
"Edit Element","Edit Element"
"Fill Options","Fill Options"
Color,Color
Patterns,Patterns
Opacity,Opacity
Filter,Filter
"Text Options","Text Options"
"Change Text","Change Text"
Typeface,Typeface
"Line Height","Line Height"
"Align Left","Align Left"
"Align Center","Align Center"
"Align Right","Align Right"
Styling,Styling
Bold,Bold
Italic,Italic
Underline,Underline
"Curved Text","Curved Text"
Spacing,Spacing
Radius,Radius
Reverse,Reverse
Transform,Transform
Angle,Angle
"Move Up","Move Up"
"Move Down","Move Down"
"Center Horizontal","Center Horizontal"
"Center Vertical","Center Vertical"
"Flip Horizontal","Flip Horizontal"
"Flip Vertical","Flip Vertical"
"Reset Element","Reset Element"
"Select an album","Select an album"
"My Feed","My Feed"
"My Recent Images","My Recent Images"
"Product Saved!","Product Saved!"
Lock,Lock
Unlock,Unlock
Remove,Remove
"Move it in his containment!","Move it in his containment!"
"Initializing product designer","Initializing product designer"
"Your uploaded images","Your uploaded images"
"Sorry! The image you have uploaded does not meet the size requirements. Minimum Width: 10 pixels, Minimum Height: 10 pixels, Maximum Width: 199 pixels, Maximum Height: 199 pixels","Sorry! The image you have uploaded does not meet the size requirements. Minimum Width: 10 pixels, Minimum Height: 10 pixels, Maximum Width: 199 pixels, Maximum Height: 199 pixels"
"OK, got it!","OK, got it!"
"Requested custom description is not found","Requested custom description is not found"
"Add View","Add View"
"Edit Title","Edit Title"
"Edit Options","Edit Options"
Edit,Edit
"Customization Fee","Customization Fee"
"Couldn't save changes on custom description","Couldn't save changes on custom description"
"Allow Customization","Allow Customization"
"Source Type","Source Type"
Category,Category
Product,Product
"Customized Products","Customized Products"
"Customized Categories","Customized Categories"
"Individual Settings","Individual Settings"
"Change Product Image","Change Product Image"
"Use Option From Main Settings","Use Option From Main Settings"
"View Selection Position","View Selection Position"
"View Selection Items","View Selection Items"
"Product Stage Width","Product Stage Width"
"Product Stage Height","Product Stage Height"
"Available Fonts","Available Fonts"
"Common Image","Common Image"
"Bounding Box","Bounding Box"
"Custom Bounding Box","Custom Bounding Box"
"Use another element as bounding box","Use another element as bounding box"
"Hide Filters","Hide Filters"
"Custom Image","Custom Image"
"There are no customizable products at the moment!","There are no customizable products at the moment!"
Views,Views
"Select the view of your Customize Product","Select the view of your Customize Product"
Layers,Layers
"Add Image","Add Image"
"Add Text","Add Text"
"Add Curved Text","Add Curved Text"
"Add Upload Zone","Add Upload Zone"
"Change the layer order by dragging elements up or down.","Change the layer order by dragging elements up or down."
"Save Layers","Save Layers"
"Product Stage","Product Stage"
px,px
"Layer Options","Layer Options"
Modifications,Modifications
Text,Text
"Media Types","Media Types"
"Position - x","Position - x"
"Position - y","Position - y"
"One color value: Colorpicker, Multiple color values: Fixed color palette","One color value: Colorpicker, Multiple color values: Fixed color palette"
"Current Color","Current Color"
"Enter one hexadecimal color to change the initial color of this element.","Enter one hexadecimal color to change the initial color of this element."
"A value between 0-1","A value between 0-1"
Removable,Removable
"Unlock Layer Position","Unlock Layer Position"
"Define Bounding Box - X","Define Bounding Box - X"
"Define Bounding Box - y","Define Bounding Box - y"
"Define Bounding Box - width","Define Bounding Box - width"
"Define Bounding Box - height","Define Bounding Box - height"
"Define Bounding Box","Define Bounding Box"
"Title of an image element in the same view.","Title of an image element in the same view."
"Clip element into bounding box","Clip element into bounding box"
Font,Font
"Select a font","Select a font"
"Multiline Alignment","Multiline Alignment"
Editable,Editable
"Allow customer to switch between curvable and normal text.","Allow customer to switch between curvable and normal text."
"Curved Text Spacing","Curved Text Spacing"
"Curved Text Radius","Curved Text Radius"
"Curved Text Reverse","Curved Text Reverse"
"Image Uploads","Image Uploads"
"Custom Texts","Custom Texts"
Designs,Designs
"Facebook Photos","Facebook Photos"
"Instagram Photos","Instagram Photos"
"Element Title","Element Title"
Position,Position
Dimensions,Dimensions
"Reset Button","Reset Button"
"Reset To His Origin","Reset To His Origin"
"Could not load order item image. Please try again!","Could not load order item image. Please try again!"
"Please enter a title","Please enter a title"
"Something went wrong. Please try again!","Something went wrong. Please try again!"
"Add imported image source to media library?","Add imported image source to media library?"
"Are you sure you want to delete it?","Are you sure you want to delete it?"
"Enter a title for the element","Enter a title for the element"
"Choose an element image","Choose an element image"
Set,Set
"Enter your text.","Enter your text."
"Remove element?","Remove element?"
"You have not saved your changes!","You have not saved your changes!"
"Image creation failed. Please try again!","Image creation failed. Please try again!"
"JSON could not be parsed.","JSON could not be parsed."
"Loading data...","Loading data..."
"No element selected!","No element selected!"
"No Fancy Product is selected. Please open one from the Order Items!","No Fancy Product is selected. Please open one from the Order Items!"
"No height has been entered. Please set one!","No height has been entered. Please set one!"
"You cannot create an SVG file from a bitmap, you can only do this by using a text element or another SVG image file","You cannot create an SVG file from a bitmap, you can only do this by using a text element or another SVG image file"
"No width has been entered. Please set one!","No width has been entered. Please set one!"
"PDF creation failed - There is too much data being sent. To fix this please increase the Server memory limit in your php.ini file. You could export a single view or use the JPEG image format!","PDF creation failed - There is too much data being sent. To fix this please increase the Server memory limit in your php.ini file. You could export a single view or use the JPEG image format!"
"Your Pop-Up Blocker is enabled so the image will be opened in a new window. Please choose to allow this website in your pop-up blocker!","Your Pop-Up Blocker is enabled so the image will be opened in a new window. Please choose to allow this website in your pop-up blocker!"
"Fancy Product Designer - Order Viewer","Fancy Product Designer - Order Viewer"
Export,Export
"Output File","Output File"
PDF,PDF
IMAGE,IMAGE
"Image Format","Image Format"
PNG,PNG
JPEG,JPEG
SVG,SVG
Size,Size
"DPI - Pixel Converter","DPI - Pixel Converter"
"PDF width in mm","PDF width in mm"
"PDF height in mm","PDF height in mm"
"Scale Factor","Scale Factor"
"Image DPI","Image DPI"
View(s),View(s)
ALL,ALL
"CURRENT SHOWING","CURRENT SHOWING"
Create,Create
"The created pdfs will be stored in:","The created pdfs will be stored in:"
"Additional Tools - Change Stage Dimensions","Additional Tools - Change Stage Dimensions"
"Width in pixels","Width in pixels"
"Height in pixels","Height in pixels"
"Create a new Fancy Product with the current showing views in the Order Viewer.","Create a new Fancy Product with the current showing views in the Order Viewer."
"Single Elements","Single Elements"
"Added By Customer","Added By Customer"
"Saved Images On Server","Saved Images On Server"
"Export Options","Export Options"
"Padding around exported element","Padding around exported element"
DPI,DPI
"Use origin size, that will set the scaling to 1","Use origin size, that will set the scaling to 1"
"when exporting the image.","when exporting the image."
"Save exported image on server.","Save exported image on server."
"Export without bounding box clipping","Export without bounding box clipping"
"if element has one.","if element has one."
"You can save all elements of the Fancy Product as an image on your server, to be stored in:","You can save all elements of the Fancy Product as an image on your server, to be stored in:"
"Picture ","Picture "
"Load in Order Viewer","Load in Order Viewer"
"Additional Cost","Additional Cost"
Item,Item
"Edit Customization","Edit Customization"
"See price before order confirmation.","See price before order confirmation."
"What's this?","What's this?"
Qty,Qty
Subtotal,Subtotal
SKU,SKU
"Gift Message","Gift Message"
From:,From:
To:,To:
Message:,Message:
Ordered,Ordered
Shipped,Shipped
Canceled,Canceled
Refunded,Refunded
Customize,Customize
"Add to Cart","Add to Cart"
Cancel,Cancel
"click to open fullscreen","click to open fullscreen"
"View Fullscreen","View Fullscreen"
"click to exit fullscreen","click to exit fullscreen"
"Check out my design!","Check out my design!"
Uploading,Uploading
"Server error: Image could not be uploaded, please try again!","Server error: Image could not be uploaded, please try again!"
"The product is not created yet, try again when the product has been fully loaded into the designer","The product is not created yet, try again when the product has been fully loaded into the designer"
"New Description","New Description"
"abcd ews","abcd ews"
"js test","js test abccc"
